DT_COMPTC,CNPJ_FUNDO_CLASSE,TP_FUNDO_CLASSE,ID_SUBCLASSE,VL_TOTAL,VL_QUOTA,VL_PATRIM_LIQ,CAPTC_DIA,RESG_DIA
2025-10-23,07.830.005/0001-90,CLASSES - FIF,,405971981.37,7.6295025,405900064.84,0.0,0.0
2025-10-28,18.959.094/0001-96,CLASSES - FIF,,1127045616.36,6.9892905,1128498782.36,9667219.89,692378.8
2025-06-17,58.140.467/0001-17,CLASSES - FIF,,43346888.08,5781.1415113,43340942.01,0.0,0.0
2025-09-24,29.241.670/0001-81,CLASSES - FIF,,99203519.56,1.9168212,99182903.12,0.0,0.0
2026-03-06,49.858.557/0001-57,CLASSES - FIF,,159844267.03,10.9718143,159837058.2,0.0,0.0
2025-08-26,26.570.557/0001-51,CLASSES - FIF,,25096054.08,1.41533886,25093091.12,0.0,0.0
2026-01-13,52.248.712/0001-28,CLASSES - FIF,,7489165.95,1.2448298,7489190.86,0.0,0.0
2026-02-23,59.534.196/0001-47,CLASSES - FIF,,9799345.84,1.03546556,9525786.81,6105.0,0.0
2025-12-16,56.009.000/0001-07,CLASSES - FIF,,1415174.36,1.19800233,1437602.8,0.0,0.0
2026-01-08,62.982.207/0001-66,CLASSES - FIF,,4094213.98,945.830435740436,4092307.79,0.0,0.0
2026-05-26,48.107.252/0001-40,CLASSES - FIF,,965725479.2,1.743124,965773851.31,0.0,0.0
2025-10-21,51.659.921/0001-00,CLASSES - FIF,,194969656.02,1.341372,194868297.64,0.0,0.0
2026-01-22,17.554.210/0001-24,CLASSES - FIF,,218144988.35,849.2077654,239782608.54,544497.47,0.0
2026-02-26,47.388.398/0001-49,CLASSES - FIF,,100324174.64,1.475286037,100315811.74,214710.36,279192.94
2026-04-17,59.836.398/0001-43,CLASSES - FIF,,24414559.22,2.726624232681,24412994.07,0.0,0.0
2026-01-05,40.226.109/0001-66,CLASSES - FIF,,23819343.24,1.7633905,23799725.35,0.0,0.0
2025-10-06,62.267.044/0001-30,CLASSES - FIF,,10205778.54,1.020095187636,10200951.88,0.0,0.0
2026-02-06,58.639.093/0001-89,CLASSES - FIF,,115920611.24,1.08086,115867371.76,0.0,80000.0
2026-04-27,51.168.708/0001-97,CLASSES - FIF,,1217377650.69,1.782731173138,1217270994.62,0.0,0.0
2025-12-19,55.649.203/0001-03,CLASSES - FIF,,3999956927.77,1.203448,3999047177.59,36651040.01,63028334.81
2025-11-12,04.331.424/0001-90,CLASSES - FIF,,446033008.61,365.676783,445951530.61,1477733.31,953468.42
2025-11-19,37.541.379/0001-57,CLASSES - FIF,,41115792.68,1.6166958,41143182.11,0.0,0.0
2025-10-08,60.100.715/0001-48,CLASSES - FIF,,15254526.47,1.068877,15271259.86,0.0,0.0
2025-06-06,38.026.814/0001-78,CLASSES - FIF,,70338110.94,1.23466859,68936295.55,68338.43,8795003.5
2025-10-22,21.219.083/0001-84,CLASSES - FIF,,97048946.47,2.1582866,97052844.54,0.0,0.0
2025-11-11,48.400.645/0001-48,CLASSES - FIF,,1356658.63,1.194001226,1345707.66,0.0,0.0
2025-12-02,09.236.941/0001-01,CLASSES - FIF,,120933363.43,2.9305402,121438274.7,0.0,76900.0
2025-10-22,35.504.030/0001-10,CLASSES - FIF,,15777465.65,2.48183098,15751610.23,0.0,0.0
2026-01-27,11.965.107/0001-90,CLASSES - FIF,,14309192.74,23.37729979,14242391.06,0.0,0.0
2025-07-29,58.274.368/0001-28,CLASSES - FIF,,75296999.99,101.404271,75792418.41,0.0,2300000.0
2026-04-27,51.603.725/0001-05,CLASSES - FIF,,96879172.17,1.3299758,96871345.66,0.0,0.0
2025-11-06,40.319.276/0001-51,CLASSES - FIF,,7212241.21,1.494536,7209844.74,0.0,0.0
2025-07-31,39.978.142/0001-63,CLASSES - FIF,,3040082.75,1.5283588,3044195.31,0.0,0.0
2026-03-17,10.601.463/0001-62,CLASSES - FIF,,309922852.1,12.8234959,309896897.83,0.0,3011000.0
2025-10-16,35.825.030/0001-11,CLASSES - FIF,,47647135.56,12.218445,47647617.77,0.0,0.0
2026-05-04,57.785.163/0001-44,CLASSES - FIF,,1952913.1,1.37061434,1996361.97,0.0,0.0
2025-12-23,54.768.994/0001-10,CLASSES - FIF,,129591.08,6.574423,127042.62,0.0,0.0
2025-11-11,58.193.485/0001-67,CLASSES - FIF,,6166487.49,1.064283,6212248.13,0.0,0.0
2026-04-06,28.648.924/0001-18,CLASSES - FIF,,31870263.51,204.00000249,31846781.32,0.0,213471.76
2025-10-29,57.075.698/0001-21,CLASSES - FIF,VDSDZ1733951033,13193799.26,1.128137,13161253.49,10.0,211922.49
2026-05-06,03.101.834/0001-81,CLASSES - FIF,,1577344932.29,195.1242077,1577328888.91,5613.18,0.0
2025-07-10,10.220.241/0001-08,CLASSES - FIF,,449662947.24,6.058717227,449649242.23,0.0,0.0
2025-12-02,53.531.823/0001-00,CLASSES - FIF,,65839498.22,1.1954555,65615651.57,0.0,0.0
2025-11-28,47.443.954/0001-32,CLASSES - FIF,,104514736.72,1.287682,104244071.8,0.0,264527.97
2026-05-25,17.489.019/0001-46,CLASSES - FIF,,929624934.89,3.5687315,929621686.05,13870000.0,222313.75
2025-08-05,49.996.708/0001-33,CLASSES - FIF,,178214197.91,114.0024922,178224333.48,0.0,0.0
2025-10-15,41.035.892/0001-43,CLASSES - FIF,,48392569.14,1.42644631,48378625.8,0.0,0.0
2026-04-20,38.542.963/0001-90,CLASSES - FIF,,12572001.57,1.4297159,12561723.52,0.0,0.0
2025-09-15,32.162.746/0001-98,CLASSES - FIF,,1301977500.6,1.8949228,1312681066.47,86161.57,2367820.0
2026-04-27,18.850.063/0001-00,CLASSES - FIF,,24252384.98,2.596115,24246971.21,0.0,0.0
2026-04-28,30.493.349/0001-73,CLASSES - FIF,,686609137.15,209.1968987,685581115.56,71325.32,0.0
2025-09-25,08.058.615/0001-80,CLASSES - FIF,,45436658.75,3.28774402,45427317.89,0.0,0.0
2025-06-25,49.801.583/0001-49,CLASSES - FIF,,16584892.26,1.4424544,16605924.56,0.0,0.0
2025-10-24,08.246.279/0001-08,CLASSES - FIF,,1489854.37,1.6794655,1494363.86,0.0,35036.28
2026-04-29,42.417.904/0001-67,CLASSES - FIF,,17858796.38,1.56807539,11837465.85,0.0,0.0
2025-07-25,18.690.918/0001-75,CLASSES - FIF,,16394319.05,1.873942091,16383190.87,0.0,0.0
